Authors,Year,Title,Journal/Book,Volume,Pages,Notes,DOI
"Dempster, AP; Laird, NM; Rubin, DB",1977,Maximum likelihood from incomplete data via the EM algorithm,Journal of the Royal Statistical Society,B39,1-38,,10.1111/j.2517-6161.1977.tb01600.x
"Destexhe, A; Mainen, Z; Sejnowski, T",1994,"Synthesis of models for excitable membranes, synaptic transmission and neuromodulation using a common kinetic formalism",Journal of Computational Neuroscience,1,195-230,,10.1007/bf00961734
"De Valois, RL; De Valois, KK",1990,Spatial Vision,,,,New York: Oxford University Press,10.1364/josaa.7.001034
"Dickinson, A",1980,Contemporary Animal Learning Theory,,,,Cambridge: Cambridge University Press,
"Dong, DW; Atick, JJ",1995,Temporal decorrelation: A theory of lagged and nonlagged responses in the lateral geniculate nucleus,Network: Computation in Neural Systems,6,159-178,,10.1088/0954-898x/6/2/003
"Douglas, RJ; Koch, C; Mahowald, M; Martin, KAC; Suarez, HH",1995,Recurrent excitation in neocortical circuits,Science,269,981-985,,10.1126/science.7638624
"Douglas, RJ; Martin, KAC",1998,Neocortex,,,459-509,"In GM Shepherd, ed., The Synaptic Organisation of the Brain. Oxford: Oxford University Press",10.1203/00006450-199804001-01902
"Dowling, JE",1987,The Retina: An Approachable Part of the Brain,,,,"Cambridge, MA: Bellknap Press",10.1002/cne.902560310
"Dowling, JE",1992,An Introduction to Neuroscience,,,,"Cambridge, MA: Bellknap Press",10.1520/stp15061s
"Duda, RO; Hart, PE",1973,Pattern Classification and Scene Analysis,,,,New York: Wiley,10.1080/00098655.1973.11477791
"Duda, RO; Hart, PE; Stork, DG",2000,Pattern Classification,,,,New York: Wiley,10.1145/633507.633510
"Durbin, R; Mitchison, G",1990,A dimension reduction framework for cortical maps,Nature,343,644-647,,10.1038/343644a0
"Durbin, R; Willshaw, DJ",1987,An analogue approach to the travelling salesman problem using an elastic net method,Nature,326,689-691,,10.1038/326689a0
"Edelstein-Keshet, L",1988,Mathematical Models in Biology,,,,New York: Random House,
"Engel, AK; Konig, P; Singer, W",1991,Direct physiological evidence for scene segmentation by temporal coding,Proceedings of the National Academy of Sciences USA,88,9136-9140,,10.1073/pnas.88.20.9136
"Enroth-Cugell, C; Robson, JG",1966,The contrast sensitivity of retinal ganglion cells of the cat,Journal of Physiology,187,517-522,,10.1113/jphysiol.1966.sp008107
"Ermentrout, GB",1998,Neural networks as spatio-temporal pattern-forming systems,Reports on Progress in Physics,64,353-430,,10.1088/0034-4885/61/4/002
"Ermentrout, GB; Cowan, J",1979,A mathematical theory of visual hallucination patterns,Biological Cybernetics,34,137-150,,10.1007/bf00336965
"Erwin, E; Obermayer, K; Schulten, K",1995,Models of orientation and ocular dominance columns in the visual cortex: A critical comparison,Neural Computation,7,425-468,,10.1162/neco.1995.7.3.425
"Everitt, BS",1984,An Introduction to Latent Variable Models,,,,London: Chapman & Hall,10.1007/978-94-009-5564-6
"Feller, W",1968,An Introduction to Probability Theory and Its Application,,,,New York: Wiley,10.2307/1527528
"Ferster, D",1994,Linearity of synaptic interactions in the assembly of receptive fields in cat visual cortex,Current Opinion in Neurobiology,4,563-568,,10.1016/0959-4388(94)90058-2
"Field, DJ",1987,Relations between the statistics of natural images and the response properties of cortical cells,Journal of the Optical Society of America,A4,2379-2394,,10.1364/josaa.4.002379
"Field, DJ",1994,What is the goal of sensory coding?,Neural Computation,6,559-601,,10.1162/neco.1994.6.4.559
"Foldiak, P",1989,Adaptive network for optimal linear feature extraction,,,401-405,In Proceedings of the IEEE/INNS IJCNN,10.1109/ijcnn.1989.118615
"Foldiak, P",1991,Learning invariance from transformed sequences,Neural Computation,3,194-200,,
"Foster, DJ; Morris, RGM; Dayan, P",2000,Models of hippocampally dependent navigation using the temporal difference learning rule,Hippocampus,10,1-16,,10.1002/(sici)1098-1063(2000)10:1<1::aid-hipo1>3.0.co;2-1
"Freeman, WJ; Schneider, W",1982,Changes in spatial patterns of rabbit olfactory EEG with conditioning to odors,Psychophysiology,19,44-56,,10.1111/j.1469-8986.1982.tb02598.x
"Friston, KJ; Tononi, G; Reeke, GN Jr; Sporns, O; Edelman, GM",1994,Value-dependent selection in the brain: Simulation in a synthetic neural model,Neuroscience,59,229-243,,10.1016/0306-4522(94)90592-4
"Fuster, JM",1995,Memory in the Cerebral Cortex,,,,"Cambridge, MA: MIT Press",10.1017/s0140525x00040231
"Gabbiani, F; Koch, C",1998,Principles of spike train analysis,,,313-360,"In C Koch & I Segev, eds., Methods of Neuronal Modeling. Cambridge, MA: MIT Press",10.1523/jneurosci.18-06-02283.1998
