Authors,Year,Title,Journal/Book,Volume,Pages,Notes,DOI
"Turrigiano, G; LeMasson, G; Marder, E",1995,Selective regulation of current densities underlies spontaneous changes in the activity of cultured neurons,Journal of Neuroscience,15,3640-3652,,10.1523/jneurosci.15-05-03640.1995
"Uttley, AM",1979,Information Transmission in the Nervous System,,,,London: Academic Press,
"Van Essen, DC; Newsome, WT; Maunsell, JHR",1984,The visual field representation in striate cortex of the macaque monkey,Vision Research,24,429-448,,10.1016/0042-6989(84)90041-5
"Van Santen, JP; Sperling, G",1984,Temporal covariance model of human motion perception,Journal of the Optical Society of America,A1,451-473,,10.1364/josaa.1.000451
"Varela, J; Sen, K; Gibson, J; Fost, J; Abbott, LF; Nelson, SB",1997,A quantitative description of short-term plasticity at excitatory synapses in layer 2/3 of rat primary visual cortex,Journal of Neuroscience,17,7926-7940,,10.1523/jneurosci.17-20-07926.1997
"Venkatesh, SS",1986,Epsilon capacity of a neural network,,,440-445,In Proceedings of Neural Networks for Computing,10.1063/1.36217
"Vogels, R",1990,Population coding of stimulus orientation by cortical cells,Journal of Neuroscience,10,3543-3558,,10.1007/bf00203627
"van Vreeswijk, C; Abbott, LF; Ermentrout, GB",1994,When inhibition not excitation synchronizes neuronal firing,Journal of Computational Neuroscience,1,313-321,,10.1007/bf00961879
"Wallis, G; Baddeley, R",1997,"Optimal, unsupervised learning in invariant object recognition",Neural Computation,9,883-894,,10.1162/neco.1997.9.4.883
"Wandell, BA",1995,Foundations of Vision,,,,"Sunderland, MA: Sinauer Associates",
"Wang, X-J",1994,Multiple dynamical modes of thalamic relay neurons: Rhythmic bursting and intermittent phase-locking,Neuroscience,59,21-31,,10.1016/0306-4522(94)90095-7
"Wang, X-J",1998,Calcium coding and adaptive temporal computation in cortical pyramidal neurons,Journal of Neurophysiology,79,1549-1566,,10.1152/jn.1998.79.3.1549
"Wang, X-J; Rinzel, J",1992,Alternating and synchronous rhythms in reciprocally inhibitory model neurons,Neural Computation,4,84-97,,10.1162/neco.1992.4.1.84
"Watkins, CJCH",1989,Learning from Delayed Rewards,,,,"Ph.D. dissertation, University of Cambridge",10.1177/016264348900900305
"Watson, AB; Ahumada, AJ",1985,Model of human visual-motion sensing,Journal of the Optical Society of America,A2,322-342,,10.1364/josaa.2.000322
"Weliky, M",2000,Correlated neuronal activity and visual cortical development,Neuron,27,427-430,,10.1016/s0896-6273(00)00053-2
"Werblin, FS; Dowling, JE",1969,"Organization of the retina of the mudpuppy, Necturus maculosus. II. Intracellular recording",Journal of Neurophysiology,32,339-355,,10.1152/jn.1969.32.3.339
"Wickens, J",1993,A Theory of the Striatum,,,,New York: Pergamon Press,10.1016/b978-0-08-042278-7.50008-9
"Widrow, B; Hoff, ME",1960,Adaptive switching circuits,WESCON Convention Report,4,96-104,,10.21236/ad0241531
"Widrow, B; Stearns, SD",1985,Adaptive Signal Processing,,,,"Englewood Cliffs, NJ: Prentice-Hall",
"Wiener, N",1958,Nonlinear Problems in Random Theory,,,,New York: Wiley,10.1038/181561a0
"Williams, RJ",1992,Simple statistical gradient-following algorithms for connectionist reinforcement learning,Machine Learning,8,229-256,,10.1023/a:1022672621406
"Wilson, HR; Cowan, JD",1972,Excitatory and inhibitory interactions in localized populations of model neurons,Biophysical Journal,12,1-24,,10.1016/s0006-3495(72)86068-5
"Wilson, HR; Cowan, JD",1973,A mathematical theory of the functional dynamics of cortical and thalamic nervous tissue,Kybernetik,13,55-80,,10.1007/bf00288786
"Witkin, A",1983,Scale space filtering,,,1019-1022,In Proceedings of IJCAI vol. 2,
"Worgotter, F; Koch, C",1991,A detailed model of the primary visual pathway in the cat,Journal of Neuroscience,11,1959-1979,,10.1523/jneurosci.11-07-01959.1991
"Yuste, R; Sur, M",1999,Development and plasticity of the cerebral cortex: From molecules to maps,Journal of Neurobiology,41,1-6,,10.1002/(sici)1097-4695(199910)41:1<1::aid-neu1>3.0.co;2-2
"Zador, A; Agmon-Snir, H; Segev, I",1995,The morphoelectrotonic transform: A graphical approach to dendritic function,Journal of Neuroscience,15,1669-1682,,10.1523/jneurosci.15-03-01669.1995
"Zemel, RS",1994,A Minimum Description Length Framework for Unsupervised Learning,,,,"Ph.D. dissertation, University of Toronto",10.1007/978-3-642-88049-0_44
"Zhang, K",1996,Representation of spatial orientation by the intrinsic dynamics of the head-direction cell ensemble: A theory,Journal of Neuroscience,16,2112-2126,,10.1523/jneurosci.16-06-02112.1996
"Zhang, K; Sejnowski, T",1999,Neural tuning: To sharpen or broaden?,Neural Computation,11,75-84,,10.1162/089976699300016809
"Zhang, LI; Tao, HW; Holt, CE; Harris, WA; Poo, M-m",1998,A critical window for cooperation and competition among developing retinotectal synapses,Nature,395,37-44,,10.1038/25665
"Zigmond, MJ; Bloom, FE; Landis, SC; Squire, LR",1998,Fundamental Neuroscience,,,,San Diego: Academic Press,10.1016/s0896-6273(00)80557-7
"Zipser, D; Andersen, RA",1988,A back-propagation programmed network that simulates response properties of a subset of posterior parietal neurons,Nature,331,679-684,,10.1038/331679a0
"Zohary, E",1992,Population coding of visual stimuli by cortical neurons tuned to more than one dimension,Biological Cybernetics,66,265-272,,10.1007/bf00198480
"Zucker, RS",1989,Short-term synaptic plasticity,Annual Review of Neuroscience,12,13-31,,10.1146/annurev.neuro.12.1.13
